,User,User_statuses_count,user_followers,fav_count,User_location,Tweets
0,^___^,5553,2,0,,"@convomfs Zara gardenia
Miniso body mist cotton cloud
Johnsons baby cologne happy berries"
1,Theo.,13342,108,0, X I I I : Ocean.,"@convomfs ㅡ Oriflame sensity Midnight Mist
ㅡ Johnsons baby cologne Happy Berries
ㅡ Miniso body mist Cotton Cloud
ㅡ… https://t.co/t0wgygodEM"
2,#AngatBuhayLahat,1306,199,0,,"Was the only one in the gym who used earphones with wires and I felt like a fckn boomer lol.

Maganda ba yung wireless earphones sa Miniso?"
3,luh,8003,240,0,/ svt / atz / nct / en- /,RT @seongjoongtrr: Lives in my head rent free https://t.co/PHwpAY1yfw
4,♥️Lucia♥️,3573,159,2,,"1st you’re LIAR, why … that’s one was from 2020 and totally unrelated thing about MINISO what you have said
(Well 8… https://t.co/ZjHEY2t3CY"
5,AB,33032,623,4,,@kylerussforever I’m not an active KPop fan but I used to work at Miniso and they often played kpop there and I lik… https://t.co/UjqZ2YgGt4
6,eden 🍂,23188,763,1,"he/they ! 🇨🇱
404twt + hstwt
cbyf ! eng / esp",@S4PHUGS hi mara !! uh i didn’t do much i went to the mall tho i wanted to go see the minion collection at miniso a… https://t.co/RDda0HHmjl
7,Recreating60,794,6,0,"Traverse City, MI",Since I am in NY. I thought that I should listen to the music people are listening here. It varies with the store/… https://t.co/DzDchuwAcV
8,ポケモンGOフレンド募集@PokemonGoFriends,68944,1564,0,,RT @NC42885118: 🦉My only squishy from Miniso🦉 #PokemonGoFriend #PokemonGo https://t.co/qeI6sHqaWc
9,NC,2538,110,1,Canada,🦉My only squishy from Miniso🦉 #PokemonGoFriend #PokemonGo https://t.co/qeI6sHqaWc
10,luh,8003,240,1,/ svt / atz / nct / en- /,what if sumali ka :(((( soonwonboo ftw https://t.co/lYdNrLaU7a
11,JHONRAFFY MORTIFERO,344,21,0,Philippines ,RT @hariharan57_: retweet if you remember home roblox 2015 #Roblox https://t.co/PccM3DQtTT
12,JHONRAFFY MORTIFERO,344,21,1,Philippines ,@imcyrian @doktorx2_RBYT That's mine :) https://t.co/c1C2qHnvkN
13,Income Statement Bot,130743,1826,0,,MINISO Group Holding Limited's quarterly revenue growth rate YoY of 20.70% ranked 1668 out of 5732 companies in our… https://t.co/mSDLQa6jD9
14,luh,8003,240,0,/ svt / atz / nct / en- /,"still available

~ Yunho
~ Yeosang
~ Mingi
~ Jongho

wts lfb ph ateez ode to youth oty https://t.co/g1fmRV6zPP"
15,luh,8003,240,0,/ svt / atz / nct / en- /,"kakagising ko lang &amp; i have this like theory or smthg abt why be the sun yung name ng tour ng svt,,,, its cause in… https://t.co/u9H1OfJSWo"
16,luh,8003,240,0,/ svt / atz / nct / en- /,boogsh baket wala nang more to come 😭😭😭 https://t.co/1VS4Sa4dR1
17,🔞 🪓ChardonnayVT🎸 🔞,1029,142,1,Basement,@Lysander_Fox Are those from Miniso?
18,"Marh✨♥️ Baekhyun day, week, month, YEAR 💕",8371,1570,0,blk - she/her,literally bought a plushie from miniso today bc it reminded me of changbin HELP
19,Astroshines🇺🇸🇬🇭,16840,323,0,,"RT @SarahMMM15: Imagine having a room with Candy theme 😂🍬🍭🍡🍨🍩
I did most of the candy details a few years ago.. Plushies from Miniso..
Mina…"
20,eden 🍂,23188,763,0,"he/they ! 🇨🇱
404twt + hstwt
cbyf ! eng / esp",i went to miniso to see the minion stuff and they didn’t have SHIT
21,LittleFirefly,4858,97,0,,"RT @IndilAirfinde: @SweLucia @Bypeace2 I watched the video at that time, it was miniso staffs,miniso asked to all employees to destroy prom…"
22,♥️..::*𝓛𝓲𝓵𝓲𝓮*::..💙💛,35149,2427,10,INFJ - eg type 5 - redhead ,"@SweLucia @Bypeace2 I watched the video at that time, it was miniso staffs,miniso asked to all employees to destroy… https://t.co/jA4op035mT"
23,Hafsa,26067,542,1,,Me holding air jordans after I spend my entire eidi on miniso https://t.co/Cp8j3d9tfc
24,zenith,565,47,0,She/Her 15,WHO played their exo playlist in miniso
25,𝖟.,216,109,1,hell,literally everyone in my college 🙏 like i know everyone sweats a lot but damn i’m here offering some deo to people… https://t.co/20ewsADNDc
26,Abhinna Mdr,414,23,0,"Silicon Valley, Budhanilkantha",@anshull_273 I really don't think men go to Miniso alone.
27,Oz,161,4,0,Mountain,let's say the stuffed toys from Miniso are made of marshmallows
28,Solihull Updates,46359,18342,2,Solihull,Japanese-inspired lifestyle retail store MINISO is set to open at @TouchwoodTweets in #Solihull on 1 June. It offer… https://t.co/bCSlP9YIuT
29,dorian,105503,833,0,"20, they/them",back to my sweet home in the sweltering heat. tomorrow im going to miniso and buying at least four different fans
30,갓츄 💚 || #GOT7Comeback!!,4259,123,1,,@KrnbCali @DEANSM00N @Minsikshoe MINISO HAS very cute stuff it's a trap fr 😵‍💫😵‍💫 omg hello you can call me Bhar!!… https://t.co/UkzIGxloc2
31,Cherry,4097,225,1,,I hate waking by a miniso they might as well rob me at gun point 😭
32,Cali | Summer Vacay 📫🏖,13782,339,1,"She/her, 25",@g7iwontletyougo @DEANSM00N @Minsikshoe I just looked up Miniso and there’s such ADORABLE STUFF. Oh that’s dangerou… https://t.co/UyrQiVXWkk
33,cel 🌷,12975,341,1,에이티즈,@miniso_oyAh yay !! yours poo will dm you in a bit 🥰
34,luh,8003,240,0,/ svt / atz / nct / en- /,up hehe can sell individually din po &lt;888 https://t.co/hNn7NfDTqF
35,갓츄 💚 || #GOT7Comeback!!,4259,123,2,,@KrnbCali @DEANSM00N @Minsikshoe We don't have Daiso here but we have Miniso and i LEGIT restrain myself from buyin… https://t.co/lsluruJh8e
36,jongseongie,1156,391,0,"she, her | 00 liner",Miniso penguin and dog coaster - 20 pesos https://t.co/9fENnhd9Ma
37,luh,8003,240,0,/ svt / atz / nct / en- /,RT @todojirou: armys getting mad over the tweets joking about the be the sun tour acronym are literally proving the point lol
38,luh,8003,240,0,/ svt / atz / nct / en- /,"RT @HONGSMINGKI: next time ateez go on tour, i need be with you to be on the setlist…like…u don’t understand…i would sell my soul to hear i…"
39,luh,8003,240,0,/ svt / atz / nct / en- /,deadt https://t.co/0pH4rgsQQs
40,luh,8003,240,0,/ svt / atz / nct / en- /,"RT @allabout_atz: • ateez insta update •

[fix_onstagram] peace!

#에이티즈 #ATEEZ @ATEEZofficial https://t.co/dOh79Fzkso"
41,luh,8003,240,0,/ svt / atz / nct / en- /,"RT @pledis_17: SEVENTEEN (세븐틴) 4th Album
Comeback Show 'Face the Sun'

@ HYBE LABELS YOUTUBE CHANNEL
@ NAVER NOW
@ LINE MUSIC

✔2022.05.28…"
42,luh,8003,240,0,/ svt / atz / nct / en- /,boogsh https://t.co/JitroWRNR6 https://t.co/1NvHaHYxW2
43,Rira💜⁷ stressed with life,1836,51,1,,I wanna buy ramen...or a kpop merch..or something cute from miniso T-T f exams
44,luh,8003,240,1,/ svt / atz / nct / en- /,bOOGSH https://t.co/7hfiEWjgKL
45,luh,8003,240,1,/ svt / atz / nct / en- /,user leefied 😭😭😭😭 https://t.co/3ekx4kBDhb
46,tara,3848,293,0,she her asian 16 angek protector,@yoonlcve MY MINISO ONLY GOT WE BARE BEARS N MARVEL 😖😖 stick to 2018 i see
47,lex,847,61,0, she/her | 16 | 🇲🇽,@kthsgfie SHE FOUND IT AT MINISO I THINK
48,luh,8003,240,1,/ svt / atz / nct / en- /,im losing it over how fun 😭😭😭 https://t.co/CoPFd4TBf4
49,yani 🍂 𓆏,52798,605,1,🇵🇭 | 17 | ♡✦&✿ (´༎ຶོρ༎ຶོ`) ,MY FAVOURITE CUSTOMER WORKS AT MINISO IM CRYING
50,coochinta°,6528,237,0,,miniso a little too excited for pride month
51,ella,100,4,0,🛌,sold out na yung miniso tote bags awheat
